AreaID|ManagedAreaName|Year|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
19|Guana River Marsh Aquatic Preserve|1998|Water Temperature|Bottom|Field|137|15.1|30.5|26.2|24.7233576642336|4.3635229758581|5002
19|Guana River Marsh Aquatic Preserve|1999|Water Temperature|Bottom|Field|163|11.4|31.5|22.9|22.9128834355828|5.76733187384938|5002
19|Guana River Marsh Aquatic Preserve|2000|Water Temperature|Bottom|Field|152|11.4|31.5|21.7|21.6056578947368|5.40392960663323|5002
19|Guana River Marsh Aquatic Preserve|2001|Water Temperature|Bottom|Field|125|9.4|32.2|22.6|22.3632|6.12348119418063|5002
19|Guana River Marsh Aquatic Preserve|2002|Water Temperature|Bottom|Field|115|13.5|30|22.5|22.5973913043478|5.80012796092307|5002
19|Guana River Marsh Aquatic Preserve|2003|Water Temperature|Bottom|Field|110|10.3|29.9|25.15|23.9840909090909|5.59445552777124|5002
19|Guana River Marsh Aquatic Preserve|2004|Water Temperature|Bottom|Field|82|13.89|32.65|25|23.8835365853659|4.4509725312513|5002
19|Guana River Marsh Aquatic Preserve|2005|Water Temperature|Bottom|Field|117|10.53|36.1|21.14|21.7370085470085|6.79924086342673|5002
19|Guana River Marsh Aquatic Preserve|2006|Water Temperature|Bottom|Field|61|14.6|29.8|23.6|23.4980327868853|5.36699009988284|5002
19|Guana River Marsh Aquatic Preserve|2007|Water Temperature|Bottom|Field|54|13.7|30.18|19.1|19.7762962962963|4.14258569162291|5002
19|Guana River Marsh Aquatic Preserve|2008|Water Temperature|Bottom|Field|85|13.7|29.74|25.6|23.4603529411765|5.28337564510446|5002
19|Guana River Marsh Aquatic Preserve|2009|Water Temperature|Bottom|Field|86|12.2|30.98|21.9|22.3332558139535|5.9582900116729|5002
19|Guana River Marsh Aquatic Preserve|2010|Water Temperature|Bottom|Field|47|6.61|31.4|21.9|22.9757446808511|5.99587131307538|5002
19|Guana River Marsh Aquatic Preserve|2011|Water Temperature|Bottom|Field|52|14.24|30.92|27.88|26.6436538461539|3.63945698861049|5002
19|Guana River Marsh Aquatic Preserve|2012|Water Temperature|Bottom|Field|80|14.52|31.18|25.7|23.452625|4.5143870559032|5002
19|Guana River Marsh Aquatic Preserve|2013|Water Temperature|Bottom|Field|55|15.78|30.26|20.5|21.6136363636364|3.28094970647692|5002
19|Guana River Marsh Aquatic Preserve|2014|Water Temperature|Bottom|Field|85|2.48|30.05|13.4|13.2184705882353|10.6684056810711|5002
19|Guana River Marsh Aquatic Preserve|2015|Water Temperature|Bottom|Field|79|1.47|29.72|2.74|9.32620253164557|10.4296248800205|95, 5002
19|Guana River Marsh Aquatic Preserve|2016|Water Temperature|Bottom|Field|78|1.48|32.056|2.4|7.89333333333333|9.42266166889202|5002
19|Guana River Marsh Aquatic Preserve|2017|Water Temperature|Bottom|Field|67|1.93|29.1|19.894|13.1855373134328|10.8373800581645|95, 5002
19|Guana River Marsh Aquatic Preserve|2018|Water Temperature|Bottom|Field|5|16|31.5|29.2|27.22|6.36490376989315|5014
19|Guana River Marsh Aquatic Preserve|2019|Water Temperature|Bottom|Field|9|15.3|31|26.3|23.6333333333333|6.73999258159829|5014
19|Guana River Marsh Aquatic Preserve|2020|Water Temperature|Bottom|Field|31|13|30.453|25.9|24.8457741935484|4.3665041448866|5002, 5014
19|Guana River Marsh Aquatic Preserve|2021|Water Temperature|Bottom|Field|46|13.592|29.3|23.4|22.406347826087|5.01980302941323|5002, 5014
20|Guana Tolomato Matanzas National Estuarine Research Reserve|1986|Water Temperature|Bottom|Field|1|27.81|27.81|27.81|27.81||60
20|Guana Tolomato Matanzas National Estuarine Research Reserve|1995|Water Temperature|Bottom|Field|325|8.1|33.6|22.9|20.2415384615385|5.80644310886176|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|1996|Water Temperature|Bottom|Field|455|4.6|35.1|22.8|20.758021978022|7.23047396704132|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|1997|Water Temperature|Bottom|Field|605|13.1|30.8|22.6|22.302479338843|5.28739696735394|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|1998|Water Temperature|Bottom|Field|399|12.8|30.5|23.5|22.8315789473684|5.31605657897962|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|1999|Water Temperature|Bottom|Field|353|11.4|31.5|22.4|22.728611898017|5.44324044422144|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2000|Water Temperature|Bottom|Field|372|11.4|31.5|21.7|21.5205913978495|5.02128350713335|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2001|Water Temperature|Bottom|Field|302|9.4|33.1|23.05|22.4096026490066|6.08107520008559|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2002|Water Temperature|Bottom|Field|330|13.3|30.2|26.3|23.7112121212121|5.3474672342268|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2003|Water Temperature|Bottom|Field|309|10.3|29.9|24.6|22.5703236245955|5.16922077313599|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2004|Water Temperature|Bottom|Field|217|12.5|32.65|25|23.0860829493088|4.84243174797831|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2005|Water Temperature|Bottom|Field|321|10.53|36.1|22.2|22.4109345794393|5.90883478351119|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2006|Water Temperature|Bottom|Field|200|12.4|30.2|22.4|22.47865|5.42417885571576|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2007|Water Temperature|Bottom|Field|247|13.2|30.9|20.8|22.0150607287449|4.97553738327777|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2008|Water Temperature|Bottom|Field|244|13.7|29.74|25.2|23.3904098360656|4.59720086557259|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2009|Water Temperature|Bottom|Field|237|12.2|30.98|23.8|23.5505907172996|5.26396130614819|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2010|Water Temperature|Bottom|Field|88|6.61|31.4|23.6|23.4460227272727|5.40849811089636|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2011|Water Temperature|Bottom|Field|105|10.5|30.92|26.2|25.2257142857143|4.19530434789046|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2012|Water Temperature|Bottom|Field|254|14.52|31.18|25.315|23.292125984252|4.09132314863968|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2013|Water Temperature|Bottom|Field|193|15.2|30.75|20.4|21.000725388601|3.54701671776027|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2014|Water Temperature|Bottom|Field|228|2.42|30.27|19.35|18.5654385964912|9.71397872275665|5002
20|Guana Tolomato Matanzas National Estuarine Research Reserve|2015|Water Temperature|Bottom|Field|208|1.45|30.5|17.57|15.88125|10.2071295711442|95, 5002
