AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|326|Total Nitrogen|Bottom|Sample|1995-05-26|2011-07-13|65|0.03994694|0.38479103|0.14712988|0.164754603692308|0.0739727801088815
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|327|Total Nitrogen|Bottom|Sample|1995-05-26|2011-07-13|65|0.03220352|0.40851138|0.15666774|0.167119642307692|0.07843936277307
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|328|Total Nitrogen|Bottom|Sample|1995-05-27|2020-12-15|102|0.0113232|0.54558544|0.100330415|0.122347420980392|0.0733718009628048
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|329|Total Nitrogen|Bottom|Sample|1995-11-29|2011-07-13|62|0.04666702|0.4871979|0.12985676|0.153372671129032|0.0872752013259427
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|329i|Total Nitrogen|Bottom|Sample|1995-05-26|1995-08-10|2|0.14699311|0.17262645|0.15980978|0.15980978|0.0181255085384604
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|330|Total Nitrogen|Bottom|Sample|1995-05-26|2020-12-15|101|0.0340326|0.3657234|0.11637489|0.135082537128713|0.0695266090155676
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|331|Total Nitrogen|Bottom|Sample|1995-05-27|2011-07-12|65|0.02785823|0.62747055|0.13166106|0.164627233384615|0.114730243332473
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|332|Total Nitrogen|Bottom|Sample|1995-05-27|2020-12-15|102|0.0281246|0.53727204|0.11773452|0.13237903127451|0.0785402460016359
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|333|Total Nitrogen|Bottom|Sample|1995-05-26|2020-12-15|102|0.0111986|0.39139506|0.11444105|0.132269990588235|0.0735661468001938
15|Florida Keys National Marine Sanctuary|297|Florida Keys National Marine Sanctuary Water Quality Monitoring Project|334|Total Nitrogen|Bottom|Sample|1995-05-27|2011-07-12|65|0.02627783|0.70942939|0.14425276|0.154385786923077|0.0978236550939612
