AreaID|ManagedAreaName|Year|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
8|Boca Ciega Bay Aquatic Preserve|1997|Salinity|All|Lab|2|34.5|35.2|34.85|34.85|0.494974746830585|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|1999|Salinity|All|Lab|3|30.43|31.9|31.4|31.2433333333333|0.74741777697171|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2000|Salinity|All|Lab|2|28.1|34.9|31.5|31.5|4.80832611206852|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2001|Salinity|All|Lab|1|32.3|32.3|32.3|32.3||Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2002|Salinity|All|Lab|4|32.94|35.2|33.8|33.935|1.14115438628318|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2003|Salinity|All|Lab|3|26.4|32.4|32.4|30.4|3.46410161513775|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2004|Salinity|All|Lab|2|32.54|34.5|33.52|33.52|1.38592929112563|Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2005|Salinity|All|Lab|1|28.8|28.8|28.8|28.8||Fisheries-Independent Monitoring (FIM) Program|69
8|Boca Ciega Bay Aquatic Preserve|2006|Salinity|All|Lab|8|31.9|35.3|34.715|34.23875|1.10164082168373|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
8|Boca Ciega Bay Aquatic Preserve|2007|Salinity|All|Lab|1|34.5|34.5|34.5|34.5||Fisheries-Independent Monitoring (FIM) Program|69
8|Boca Ciega Bay Aquatic Preserve|2009|Salinity|All|Lab|1|33.97|33.97|33.97|33.97||Florida STORET / WIN|5002
8|Boca Ciega Bay Aquatic Preserve|2010|Salinity|All|Lab|2|30.66|34.8|32.73|32.73|2.9274220741123|Florida STORET / WIN|5002
